#separator:tab
#html:true
#tags column:3
"32F + low MCV + low Hb + smear is shown below; Dx?<br><img src=""paste-d55f350f68556e191d781ead2389cc8dfe0a7ad6.jpg"">"	&nbsp;iron deficiency anemia (IDA); smear shows pale RBCs (i.e., with central pallor).	
&nbsp;75M + episodes of loss of consciousness (LoC) for 2 years + tonic-clonic-like episodes + becomes pale&nbsp;and&nbsp;sweaty&nbsp;+&nbsp;Hx&nbsp;of&nbsp;MI;&nbsp;Dx?	<div>&nbsp;“syncope” on the NBME (convulsive syncope).</div>	
Mechanism&nbsp;of&nbsp;narcolepsy?&nbsp;	<div>deficiency of orexin (hypocretin).</div>	
Diagnosis&nbsp;of&nbsp;narcolepsy?	<div>polysomnography.</div>	
&nbsp;&nbsp;What&nbsp;is&nbsp;cataplexy?	"<div>→ loss of muscle
tone usually in response to emotional stimulus
(e.g., laughter) →</div>
<div>&nbsp;seen in narcolepsy.</div>"	
Tx&nbsp;of&nbsp;nacrolepsy	<div>&nbsp;stimulants (i.e., modafinil).</div>	
What&nbsp;is&nbsp;simple&nbsp;vs&nbsp;complex&nbsp;seizure?	"<div>→ simple = no LoC; complex = LoC; patient
staring off into space not aware of surroundings = LoC.</div>"	
What&nbsp;is&nbsp;partial&nbsp;vs&nbsp;generalized&nbsp;seizure?	"<div>&nbsp;partial = affecting one part of the brain;
generalized = involves
the wholes of both cerebral
hemispheres.</div>"	
What&nbsp;is&nbsp;myoclonic&nbsp;seizure?	<div>&nbsp;→ jerks in muscle or group of muscles; no LoC.</div>	
Empiric&nbsp;Abx&nbsp;therapy&nbsp;for&nbsp;meningitis	<div>ceftriaxone + vancomycin (+/- steroids).</div>	
Lumbar&nbsp;puncture&nbsp;or&nbsp;Abx&nbsp;first&nbsp;in&nbsp;suspected&nbsp;meningitis?	<div>→ new guidelines say LP first.</div>	
When&nbsp;do&nbsp;you&nbsp;do&nbsp;CT&nbsp;head&nbsp;before&nbsp;LP&nbsp;in&nbsp;suspected&nbsp;meningitis?	"<div>o&nbsp;&nbsp;
Confusion that interferes with neurologic exam / decreased
GCS score.<br></div>
<div>&nbsp;</div>
<div>o&nbsp;&nbsp;
Seizure.</div>
<div>&nbsp;</div>
<div>o&nbsp;&nbsp;
Focal neurologic signs (motor or sensory).</div>
<div>&nbsp;</div>
<div>o&nbsp;&nbsp;
Papilledema
or if the optic fundi cannot be visualized.</div>
<div>o&nbsp;&nbsp;
Above reasons indicate potential mass lesion,
where if you do an LP you can cause tonsillar
herniation and death;
if CT negative, proceed cautiously to LP.</div>"	
Bacterial meningitis:	"<div>&nbsp;low glucose,
high protein, high neutrophils (polymorphonuclear cells; PMNs).</div>"	
&nbsp;Aseptic&nbsp;(viral)&nbsp;meningitis	"<div>&nbsp;normal glucose, normal
(or slightly elevated) protein, high lymphocytes.</div>"	
&nbsp;Fungal meningitis:	"<div>&nbsp;low
glucose, high protein, high lymphocytes (similar to bacterial, but high lymphocytes instead of neutrophils).</div>"	
Herpes&nbsp;encephalitis:&nbsp;<b>lots&nbsp;of&nbsp;RBCs&nbsp;in&nbsp;CSF&nbsp;due&nbsp;to&nbsp;temporal&nbsp;lobe&nbsp;hemorrhage&nbsp;</b>	"<div>&nbsp;CT is often negative,
but sometimes Q will mention
wave slowing or temporal complexes
on EEG. Tx = IV acyclovir.</div>"	
Difference&nbsp;between&nbsp;meningitis&nbsp;and&nbsp;encephalitis&nbsp;	"<div>&nbsp;meningitis is nuchal rigidity
(neck stiffness) + photophobia + ophthalmoplegia; encephalitis presents with <b>confusion.</b></div>"	
Dx&nbsp;of&nbsp;Cryptococcal&nbsp;meningitis?&nbsp;	"<div><b>latex agglutination </b>if
it’s listed over India ink; mucicarmine staining
(red stain) can also be done.</div>"	
Tx&nbsp;for&nbsp;Cryptococcal&nbsp;meningitis	<div>&nbsp;amphotericin B + flucytosine, followed by fluconazole taper.</div>	
&nbsp;Nodular&nbsp;density&nbsp;in&nbsp;upper&nbsp;lobe&nbsp;in&nbsp;immunocompromised&nbsp;pt&nbsp;	"<div>&nbsp;aspergilloma → next best step = open lung
biopsy (sounds radical, but it’s the answer on one of the NBME forms) → Tx with -azole → invasive aspergillosis can be treated
with caspofungin or voriconazole.</div>"	
44F&nbsp;+&nbsp;diplopia&nbsp;+&nbsp;dysphagia&nbsp;+&nbsp;eyelid&nbsp;ptosis;&nbsp;all&nbsp;worsen&nbsp;throughout&nbsp;the&nbsp;day;&nbsp;Dx?&nbsp;	<div>&nbsp;→ myasthenia gravis (MG).</div>	
&nbsp;44F + proximal muscle weakness + able to perform upward gaze without a problem for 60 seconds;&nbsp;Dx?	"<div>→ Lambert-Eaton (LE) syndrome (if cannot perform,
answer = MG).</div>"	
&nbsp;Vignette&nbsp;where&nbsp;Dx&nbsp;is&nbsp;either&nbsp;MG&nbsp;or&nbsp;LE&nbsp;but&nbsp;it’s&nbsp;not&nbsp;listed;&nbsp;answer?	<div>→ “neuromuscular junction.”</div>	
44F&nbsp;+&nbsp;difficulty&nbsp;getting&nbsp;up&nbsp;from&nbsp;chair&nbsp;but&nbsp;is&nbsp;able&nbsp;to&nbsp;after&nbsp;several&nbsp;attempts;&nbsp;Dx?&nbsp;	<div>&nbsp;LE.</div>	
Mechanism of MG vs LE?	"<div>&nbsp;MG
= antibodies against
postsynaptic acetylcholine receptors; LE = antibodies against presynaptic voltage-gated calcium channels.</div>"	
MG can sometimes be paraneoplastic syndromes of which cancer?	"<div>&nbsp;MG from
thymoma (do chest imaging to check
for thymoma after Dx of MG; if thymoma present + removed, this cures the MG).
Up to 80% of patients
with thymoma + MG have anti-MUSK Abs (muscle-specific kinase).</div>"	
&nbsp;LE&nbsp;can&nbsp;sometimes&nbsp;be&nbsp;a&nbsp;paraneoplastic&nbsp;syndrome&nbsp;of&nbsp;which&nbsp;cancer?&nbsp;	<div>&nbsp;small cell lung cancer.</div>	
How&nbsp;to&nbsp;Dx&nbsp;MG&nbsp;vs&nbsp;LE?	"&nbsp;→ If both are listed,
choose antibodies over Tensilon (edrophonium) test"	
What&nbsp;is&nbsp;edrophonium&nbsp;	"→ short-acting
acetylcholinesterase inhibitor."	
Tx&nbsp;of&nbsp;MG?&nbsp;	"<div>&nbsp;→ give an acetylcholinesterase inhibitor
(i.e., pyridostigmine).</div>"	
38F + papilledema on fundoscopy + flushing of face / venous distension of head + neck; Dx?&nbsp;	"<div>&nbsp;NBME wants
“obstruction of venous return to the heart” → SVC
syndrome; classically has (+) Pemberton sign;
why this is on Neuro shelf I do not know, but it is. Tangentially, thymic
lesions can cause SVC-like syndrome (i.e.,
T cell ALL in peds)</div>"	
6M + dancing eyes + HTN + lesion visualized in posterior mediastinum on CXR; Dx?	"<div>&nbsp;neuroblastoma; students says wtf? → can occur anywhere in the median sympathetic chain, although classically intra- abdominal. Dancing
eyes = opsoclonus-myoclonus syndrome.</div>"	
&nbsp;Neuroblastoma;&nbsp;how&nbsp;to&nbsp;Dx?	"<div>&nbsp;answer on NBME is “urinary
homovanillic acid (HVA) and vanillylmandelic acid (VMA); mIBG scan may also be used; n-myc gene.</div>"	
25M&nbsp;+&nbsp;impaired&nbsp;plantar&nbsp;flexion&nbsp;+&nbsp;inversion;&nbsp;Dx?&nbsp;	<div>→ tibial nerve injury.</div>	
&nbsp;25M&nbsp;+&nbsp;impaired&nbsp;dorsiflexion&nbsp;+&nbsp;eversion;&nbsp;Dx?	"<div>→ common peroneal
nerve injury.</div>"	
22F returns from Central America + has tonic-clonic seizure + CT of head shows “swiss cheese” appearance of brain, or cystic structures in ventricles, or white specs somewhat diffusely (I’ve seen all three images on NBME forms); Dx?&nbsp;	<div>&nbsp;neurocysticercosis (Taenia solium); Tx = albendazole (or praziquantel).</div>	
AIDS patient with CD4 count of 47/uL + cognitive degeneration + miscellaneous peripheral neurologic&nbsp;findings; Dx?	"<div>progressive multifocal leukoencephalopathy (PML) caused by JC
polyoma virus; USMLE wants
“reactivation of latent infection”; “acute infection in immunocompromised
patient” is the wrong answer. T2-weighted MRI shows multiple
hyperintensities.</div>"	
55F + few-month Hx of spinning sensation + no vomiting + when head hangs off examination table&nbsp;she develops coarse, rotary nystagmus beating to one side; Dx?&nbsp;	"<div>&nbsp;answer on NBME is benign paroxysmal positional vertigo (BBPV); need not be associated
with vomiting; Dx with Dix-Hallpike maneuver; Tx with Epley
maneuver.<br></div>"	
Cause&nbsp;of&nbsp;BPPV?&nbsp;	<div>→ posterior semicircular canal <b>otolith.</b></div>	
What&nbsp;is&nbsp;cholesteatoma?	<div>→ non-cancerous squamous proliferation of middle ear.</div>	
&nbsp;Most&nbsp;common&nbsp;cause&nbsp;of&nbsp;carotid&nbsp;plaques?	"<div>HTN → the strong
systolic impulse from the heart pounds the carotids --&gt;
endothelial damage --&gt;
atherosclerosis.</div>"	
&nbsp;55M + BP 150/90 + TIA; next best step in Mx?	"<div>→ carotid duplex USS → the first
thing you want to think about is, ""does this guy have a carotid
plaque that has resulted in a clot embolizing to his brain.""</div>"	
80M&nbsp;+&nbsp;good&nbsp;blood&nbsp;pressure&nbsp;(e.g.,&nbsp;110/70)&nbsp;+&nbsp;stroke&nbsp;or&nbsp;TIA;&nbsp;next&nbsp;best&nbsp;step&nbsp;in&nbsp;Mx?	"<div>&nbsp;ECG → you want to
think, ""Does he have atrial fibrillation with a LA mural thrombus that's
now embolized to the brain.""</div>"	
80M + good blood pressure (e.g., 110/70) + stroke or TIA + ECG shows sinus rhythm with no&nbsp;abnormalities;&nbsp;next best step in Mx?&nbsp;	"<div>→ Holter monitor → when you
first see this scenario you're probably
like, ""Wait, the ECG is normal, so it's not AF?"" → No, <i>it is </i>likely
AF, but AF is often paroxysmal, so in
order to detect it in this scenario, <b>the
next best step is a Holter monitor (24-hour wearable ECG). </b>This means
that later in the day when he sits down to have dinner and then pops into AF, the Holter
monitor will pick it up.</div>"	
What % of people over age 80 have AF?	"<div>→ 8% of people over age 80 have AF, which is why age is
a huge risk factor. In other words,
if the vignette says the guy is 58, AF is probably less likely just based on shear probability, regardless of
hypertensive status."" And, once again, knowing that AF is often paroxysmal is really important.</div>"	
&nbsp;&nbsp;Age&nbsp;50s-60s&nbsp;+&nbsp;high&nbsp;BP&nbsp;+&nbsp;TIA/stroke/retinal&nbsp;artery&nbsp;occlusion;&nbsp;next&nbsp;best&nbsp;step&nbsp;in&nbsp;Dx?&nbsp;	"<div>→ answer = carotid duplex
ultrasound to look for carotid
plaques.</div>"	
&nbsp;Age&nbsp;&gt;75&nbsp;+&nbsp;good&nbsp;BP&nbsp;+&nbsp;TIA/stroke/retinal&nbsp;artery&nbsp;occlusion	"<div>&nbsp;ECG to look for AF
→ if normal, do Holter monitor
to pick up paroxysmal AF.</div>"	
55M + good BP + carotid bruit heard on auscultation; next best step in Mx?	"<div>&nbsp;carotid duplex ultrasound to look for carotid plaques
→ in this case, if they are obvious and explicit about the suspected etiology of the stroke, TIA, or
retinal artery occlusion, then you can just do the carotid duplex ultrasound.</div>"	
&nbsp;How to Mx carotid plaques?&nbsp;	"<div>
<div>&nbsp;first we have to ask whether the patient is symptomatic or asymptomatic. A bruit does not count as
symptoms (that's a sign). Symptomatic means stroke, TIA, or retinal
artery occlusion. According
to recent guidelines: carotid occlusion &gt;70%
if symptomatic, or</div>
<div>&gt;80% if asymptomatic → answer = do carotid
endarterectomy. Below these thresholds → answer = medical
management = statin,
PLUS clopidogrel OR dipyridamole + aspirin. The USMLE will actually</div>
</div>
<br>

<div><i>not </i>be hyper-pedantic about the
occlusion %s (that’s Qbank). They'll make it obvious for you which answer
they want. They'll
say either 90% → answer certainly
= carotid endarterectomy, or they'll say 50%
→ answer = medical management only. There’s
one NBME Q where they say a guy has a bruit but
is asymptomatic, and has 10 and 30% occlusion in the left vs right carotids,
respectively, and he’s already on
aspirin + statin, and the answer is ""maintain current regimen” → if he were symptomatic, even with low occlusion, he’d certainly need statin, PLUS clopidogrel OR dipyridamole + aspirin.</div>"	
6F&nbsp;+&nbsp;rheumatic&nbsp;fever&nbsp;+&nbsp;has&nbsp;Sydenham&nbsp;chorea;&nbsp;Q&nbsp;asks&nbsp;mechanism	<div>&nbsp;autoimmune disorder to the basal ganglia.</div>	
22F + says cannot see out of left eye + examination shows no relative afferent pupillary defect	"<div>&nbsp;conversion disorder – i.e., if he
truly had impaired vision, Marcus-Gunn pupil would be present.</div>"	
&nbsp;38F&nbsp;+&nbsp;hoarseness&nbsp;of&nbsp;voice&nbsp;+&nbsp;various&nbsp;stress&nbsp;factors;&nbsp;Dx?	"<div>&nbsp;conversion disorder;
merely be aware that hoarseness of voice is assessed for this.</div>"	
&nbsp;Back&nbsp;pain&nbsp;worse&nbsp;when&nbsp;standing&nbsp;or&nbsp;walking&nbsp;for&nbsp;long&nbsp;periods&nbsp;of&nbsp;time	<div>&nbsp;lumbar spinal stenosis.</div>	
Radiculopathy&nbsp;down&nbsp;an&nbsp;arm&nbsp;	<div>&nbsp;cervical disc herniation.</div>	
Bilateral paresthesias&nbsp;in&nbsp;the&nbsp;arms&nbsp;in&nbsp;rheumatoid&nbsp;arthritis&nbsp;patient	<div>atlantoaxial subluxation.</div>	
Bilateral paresthesias&nbsp;in the arms in rheumatoid arthritis patient	<div>&nbsp;MRI of spine to Dx atlantoaxial subluxation.</div>	
&nbsp;Prior to surgery in rheumatoid&nbsp;arthritis patient	"<div>&nbsp;cervical CT
or flexion/extension x-rays of cervical spine to check for atlantoaxial subluxation.</div>"	
&nbsp;40M&nbsp;+&nbsp;combination&nbsp;of&nbsp;LMN&nbsp;and&nbsp;UMN&nbsp;findings&nbsp;+&nbsp;<b>no&nbsp;</b>sensory&nbsp;abnormalities;&nbsp;Dx?	"<div>→ amyotrophic lateral sclerosis;
make sure you memorize that there are NO sensory findings, as this is the
detail most students forget.
Sometimes the answer won’t be “ALS,” but will instead be “motor neuron” (i.e., they’ll
ask for structural diagnosis, rather than disease name).</div>"	
&nbsp;1-year-old&nbsp;boy&nbsp;+&nbsp;hypotonia&nbsp;+&nbsp;honey&nbsp;consumption;&nbsp;Dx?	"<div>&nbsp;ingestion of spores (honey);
botulism (<i>Clostridium
botulinum</i>).</div>"	
13M&nbsp;+&nbsp;camping&nbsp;trip&nbsp;+&nbsp;Bell&nbsp;palsy&nbsp;+&nbsp;constipation&nbsp;+&nbsp;hypotonia;&nbsp;Dx?	<div>ingestion of preformed toxin from compromised canned goods. Tx = anti-toxin.</div>	
32M&nbsp;+&nbsp;waxing&nbsp;and&nbsp;waning&nbsp;tinnitus&nbsp;and&nbsp;hearing&nbsp;loss&nbsp;+&nbsp;difficulty&nbsp;hearing&nbsp;conversations&nbsp;at&nbsp;dinner&nbsp;and&nbsp;in&nbsp;groups&nbsp;+&nbsp;has&nbsp;family&nbsp;Hx&nbsp;of&nbsp;similar&nbsp;Sx;&nbsp;Dx?	"<div>&nbsp;Meniere disease
→ low-frequency hearing
loss.</div>"	
&nbsp;Mechanism&nbsp;for&nbsp;Meniere?&nbsp;	"<div>&nbsp;defective endolymphatic drainage; may attempt
antihistamines and diuretics.</div>"	
Viral&nbsp;infection&nbsp;+&nbsp;tinnitus&nbsp;+/-&nbsp;vertigo&nbsp;+&nbsp;no&nbsp;hearing&nbsp;loss;&nbsp;self-resolves&nbsp;over&nbsp;weeks&nbsp;to&nbsp;months;&nbsp;Dx?	<div>vestibular neuritis.<br></div>	
Viral infection + tinnitus + hearing loss +/- vertigo self-resolves over weeks to months; Dx?&nbsp;	"<div>→ labyrinthitis. One Q on the neuro forms has presentation similar to vestibular neuritis but answer is labyrinthitis; vestibular neuritis isn’t
listed as alternative answer.</div>"	
3M&nbsp;+&nbsp;pinna&nbsp;displaced&nbsp;upward&nbsp;and&nbsp;outward&nbsp;+&nbsp;fever;&nbsp;Dx?&nbsp;	<div>→ mastoiditis (malignant otitis externa).</div>	
&nbsp;&nbsp;3M&nbsp;+&nbsp;mastoiditis&nbsp;+&nbsp;next&nbsp;best&nbsp;step&nbsp;in&nbsp;Mx?	"<div>&nbsp;→ CT or MRI of the temporal
bone (x-ray is wrong answer)</div>
<div>&nbsp;</div>
<div>→ sounds outrageous to do a CT in a kid, but “CT of temporal
bone” is answer
on one of the NBMEs;
in UWorld, MRI is answer + x-ray is wrong/insufficient → mastoiditis often associated with fluid collection that must be visualized + drained to prevent brain
abscess.</div>"	
&nbsp;25M IV drug user + Tx for endocarditis + now the room is spinning; Dx?&nbsp;	"<div>→ CN VIII
toxicity caused by aminoglycoside (can be hearing
loss, tinnitus, or vertigo); empiric
endocarditis Tx is usually gentamicin</div>
<div>+ either vancomycin or ampicillin/sulbactam.</div>"	
&nbsp;Endocarditis&nbsp;patient&nbsp;+&nbsp;has&nbsp;stroke-like&nbsp;episode&nbsp;+&nbsp;fever;&nbsp;next&nbsp;best&nbsp;step?&nbsp;	"<div>&nbsp;→ IV antibiotics
→ septic embolus to the brain; can lead to brain abscess.</div>"	
&nbsp;&nbsp;MCA&nbsp;stroke&nbsp;on&nbsp;dominant&nbsp;hemisphere&nbsp;(usually&nbsp;left-sided);&nbsp;HY&nbsp;findings?	"<div>-&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;→ contralateral limb + face sensory and/or motor deficits;
also classically associated with Broca and Wernicke aphasias.</div>"	
ACA&nbsp;stroke;&nbsp;HY&nbsp;findings?&nbsp;	"<div>&nbsp;contralateral lower leg sensory
and/or motor dysfunction.</div>"	
&nbsp;PCA&nbsp;stroke;&nbsp;HY&nbsp;findings?	<div>→ contralateral hemianopsia with macular sparing.</div>	
&nbsp;&nbsp;&nbsp;PCA&nbsp;stroke	<div>HY findings? → contralateral hemianopsia with macular sparing.</div>	
Broca&nbsp;aphasia;&nbsp;HY&nbsp;findings?	"<div>&nbsp;→ non-fluent aphasia;
telegraphic speech; comprehends normally but cannot
communicate easily, leading
to frustration; <b>repetition impaired.</b></div>"	
Where&nbsp;is&nbsp;Broca&nbsp;area?	"<div>&nbsp;→ posterior, lateral,
inferior <b>frontal lobe.</b></div>"	
<div>Where is Broca area? →&nbsp;</div>	posterior,&nbsp;lateral,&nbsp;inferior&nbsp;<b>frontal&nbsp;lobe.</b>	
Wernicke&nbsp;aphasia;&nbsp;HY&nbsp;findings?	"<div>fluent aphasia;
word salad; non-sensical speech + does not comprehend; <b>repetition impaired.</b></div>"	
Where&nbsp;is&nbsp;Wernicke&nbsp;area?	"<div>superior temporal
gyrus (<b>temporal lobe</b>).</div>"	
What&nbsp;is&nbsp;conduction&nbsp;aphasia?&nbsp;	"<div>patient has only impaired
repetition (arcuate fasciculus connecting Broca and Wernicke areas).</div>"	
What&nbsp;is&nbsp;global&nbsp;aphasia?&nbsp;	"<div>→ patient has presentation of Broca
and Wernicke aphasias at the same time.</div>"	
What&nbsp;is&nbsp;transcortical&nbsp;motor&nbsp;aphasia?	"<div>→ patient sounds like he/she
has Broca aphasia
but <b>repetition is intact.</b></div>"	
What&nbsp;is&nbsp;transcortical&nbsp;sensory&nbsp;aphasia?&nbsp;	"<div>&nbsp;patient sounds
like he/she has Wernicke aphasia
but</div>
<div><b>&nbsp;repetition is intact.</b></div>"	
What&nbsp;is&nbsp;mixed&nbsp;transcortical&nbsp;aphasia?	"<div>&nbsp;patient sounds like he/she has Broca and Wernicke at the same time but <b>repetition
is intact.</b></div>"	
42M&nbsp;+&nbsp;acalculia&nbsp;+&nbsp;left-right&nbsp;agnosia&nbsp;+&nbsp;finger&nbsp;agnosia&nbsp;+&nbsp;agraphia;&nbsp;Dx?	"<div>&nbsp;Gerstmann syndrome (angular gyrus syndrome; junction
of parietal and temporal lobes).</div>"	
Stroke causing Horner syndrome + dysphagia + loss of pain/temp from contralateral body and&nbsp;ipsilateral face; Dx?	<div>&nbsp;lateral medullary syndrome (PICA infarct) → “Pikachu” = PICA-chew = dysphagia with PICA infarct.</div>	
Stroke&nbsp;causing&nbsp;ipsilateral&nbsp;Bell&nbsp;palsy;&nbsp;Dx?	"<div>→ lateral pontine
syndrome (AICA infarct) → FACIAL spelled
backwards has AICA in it → face is affected.</div>"	
Stroke&nbsp;causing&nbsp;<b>ipsilateral&nbsp;tongue&nbsp;deviation&nbsp;</b>+&nbsp;contralateral&nbsp;paralysis&nbsp;and&nbsp;loss&nbsp;of&nbsp;propioception;&nbsp;Dx?&nbsp;	"<div>medial medullary syndrome (paramedian branch of anterior
spinal artery).<br></div>"	
Lacunar infarct HY points?	"<div>&nbsp;caused by HTN leading to lipohyalinosis of lenticulostriate
vessels → if affecting
posterior limb of internal capsule, deficits are pure motor (contralateral); if
thalamic, deficits are pure sensory (contralateral).</div>"	
Stroke&nbsp;causing&nbsp;locked-in&nbsp;syndrome;&nbsp;Dx?&nbsp;	<div>&nbsp;Basilar artery stroke.</div>	
Correct&nbsp;hyponatremia&nbsp;too&nbsp;quickly?	"<div>locked-in syndrome
due to central pontine myelinolysis (osmotic demyelination).</div>"	
Correct&nbsp;hypernatremia&nbsp;too&nbsp;quickly?	<div>&nbsp;cerebral edema.</div>	
Pain&nbsp;in&nbsp;contralateral&nbsp;limb&nbsp;months&nbsp;after&nbsp;stroke&nbsp;resolves;&nbsp;Dx?	<div>&nbsp;thalamic pain syndrome.</div>	
Coma&nbsp;or&nbsp;persistent&nbsp;vegetative&nbsp;state&nbsp;following&nbsp;deceleration&nbsp;injury&nbsp;(i.e.,&nbsp;MVA&nbsp;or&nbsp;fall);&nbsp;Dx?&nbsp;	"<div>&nbsp;diffuse axonal
injury.</div>"	
7F + facial grimaces past 5 months + no other motor findings or abnormal sounds + mental status&nbsp;normal; next best step in Mx?	"<div>&nbsp;“schedule a follow-up examination in 3 months” → Dx = provisional
tic disorder → 1/5 children experience some form of tic disorder;
most common ages 7- 12; usually
lasts less than a year; “watch and wait” approach
recommended. Provisional tic disorder used to be called transient tic disorder;
the name was changed because a small % go on to develop chronic tics.</div>"	
10-month old boy + jerking movements of the limbs + EEG shows chaotic high-amplitude spikes with&nbsp;no recognizable pattern; Dx?	"<div>&nbsp;West syndrome (infantile spasms) → triad of spasms + hypsarrhythmia
on EEG (no recognizable pattern with high amplitude spikes) + developmental regression; international definition of
the diagnosis requires two out of three; starts age 3-12 months; seen in 1-5% of Down syndrome kids; Tx = <b>ACTH, </b>prednisolone, or vigabatrin; ACTH
is thought to act by two mechanisms:&nbsp;</div><div>1) stimulates steroid (cortisol) release;&nbsp;</div><div>2) direct (cortisol-independent)
effect on melanocortin receptors.</div>"	
